fish_id,color,fin_id,recap,size,tag_id,dive_num,obs_time,collector,gps,depth_m,depth_ft,anemspp,anemdia,oldanemid,anem_id,anemsampleid,spp,notes,anem_table_id,dive_table_id
109.3,O,77,N,7.2,985153000372339,6,11:27:00,MRS,3,3.1,NA,MADO,25,128,2206,NA,APCL,NA,6914,290
110.1,NA,NA,NA,4,NA,6,11:32:00,MRS,3,3.3,NA,HECR,35,NA,949,NA,APPE,NA,6915,290
116.1,YR,82,NA,4.2,NA,6,12:44:00,MRS,3,3.5,NA,MADO,10,969,2208,NA,APCL,NA,6926,290
121.1,NA,NA,NA,7,NA,7,14:46:00,MRS,3,4.1,NA,HECR,25,NA,1032,NA,APCL,NA,6935,291
121.2,NA,NA,NA,2,NA,7,14:46:00,MRS,3,4.1,NA,HECR,25,NA,1032,NA,APCL,NA,6935,291
128.1,NA,NA,NA,7,NA,7,15:11:00,MRS,3,4.5,NA,HECR,30,462,944,NA,APPE,NA,6943,291
128.1,NA,NA,NA,7,NA,7,15:11:00,MRS,3,4.5,NA,HECR,30,462,944,NA,APPE,NA,9297,291
131.1,YR,93,NA,4.1,NA,7,15:34:00,MRS,3,5.1,NA,HECR,20,NA,2213,NA,APCL,NA,6948,291
132.1,NA,NA,NA,5,NA,7,15:36:00,MRS,3,5.4,NA,HECR,25,NA,945,NA,APCL,both fish are already cut,6949,291
132.2,NA,NA,NA,7,NA,7,15:36:00,MRS,3,5.4,NA,HECR,25,NA,945,NA,APCL,both fish are already cut,6949,291
138.1,NA,NA,NA,7,NA,7,16:01:00,MRS,3,4.9,NA,HECR,25,490,496,NA,APPE,"I think in 2015_01, 2 mismatching anemone tags were accidentally placed on this anemone (490/496) look similar",6956,291
141.1,NA,NA,NA,7,NA,8,09:41:00,MRS,3,3.5,NA,HECR,30,NA,959,NA,APPE,NA,6960,292
142.1,NA,NA,NA,7,NA,8,10:06:00,MRS,3,4.2,NA,HECR,20,NA,498,NA,APPE,NA,6962,292
149.1,NA,NA,NA,5,NA,8,10:37:00,MRS,3,4,NA,HECR,30,NA,938,NA,APPE,NA,6970,292
154.1,YP,NA,NA,7,NA,9,12:41:00,MRS,3,3.9,NA,HECR,30,NA,2221,NA,APCL,NA,6978,293
154.2,YR,NA,NA,5,NA,9,12:41:00,MRS,3,3.9,NA,HECR,30,NA,2221,NA,APCL,NA,6978,293
157.1,W,109,NA,5,NA,9,13:37:00,MRS,3,3.9,NA,HECR,30,NA,2224,NA,APCL,NA,6985,293
157.2,NA,NA,NA,3,NA,9,13:37:00,MRS,3,3.9,NA,HECR,30,NA,2224,NA,APCL,NA,6985,293
159.1,NA,NA,NA,9,NA,9,14:24:00,MRS,3,3.1,NA,HECR,30,NA,431,NA,APPE,NA,6988,293
159.2,NA,NA,NA,7,NA,9,14:24:00,MRS,3,3.1,NA,HECR,30,NA,431,NA,APPE,NA,6988,293
161.1,NA,NA,NA,7,NA,9,14:27:00,MRS,3,2.9,NA,HECR,25,NA,917,NA,APPE,NA,6990,293
161.2,NA,NA,NA,3,NA,9,14:27:00,MRS,3,2.9,NA,HECR,25,NA,917,NA,APPE,NA,6990,293
167.1,YR,NA,N,3.4,NA,10,09:53:00,MRS,3,3.7,NA,HECR,2,NA,889,NA,APCL,"Caught but too small to collect sample, this fish and the fish on 2226 swim back and forth between anemones",6997,294
168.1,NA,NA,NA,8,NA,10,10:01:00,MRS,3,3.4,NA,HECR,25,NA,2228,NA,APCL,NA,6999,294
168.2,NA,NA,NA,5,NA,10,10:01:00,MRS,3,3.4,NA,HECR,25,NA,2228,NA,APCL,NA,6999,294
168.3,NA,NA,NA,4,NA,10,10:01:00,MRS,3,3.4,NA,HECR,25,NA,2228,NA,APCL,NA,6999,294
170.1,W,117,N,4.3,NA,10,10:28:00,MRS,3,3.5,NA,HECR,25,NA,2229,NA,APCL,NA,7002,294
170.2,YR,NA,NA,2,NA,10,10:28:00,MRS,3,3.5,NA,HECR,25,NA,2229,NA,APCL,NA,7002,294
174.1,NA,NA,NA,7,NA,10,10:32:00,MRS,3,2.5,NA,HECR,20,NA,883,NA,APPE,NA,7006,294
174.2,NA,NA,NA,3,NA,10,10:32:00,MRS,3,2.5,NA,HECR,20,NA,883,NA,APPE,NA,7006,294
174.3,NA,NA,NA,2,NA,10,10:32:00,MRS,3,2.5,NA,HECR,20,NA,883,NA,APPE,NA,7006,294
175.1,NA,NA,NA,7,NA,10,10:33:00,MRS,3,3.5,NA,HECR,20,NA,2022,NA,APPE,NA,7007,294
175.2,NA,NA,NA,5,NA,10,10:33:00,MRS,3,3.5,NA,HECR,20,NA,2022,NA,APPE,NA,7007,294
