Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
APCL_13014L0464,923,APCL_14158L0909_APCL14_156,1012,923,5,-6.01898463217766E+0001,-6.01898463217766E+0001,*,APCL_14169L0716_APCL14_167,1007,918,14,-1.12764647583715E+0002, 0.00000000000000E+0000,,923,28,-2.25957265404842E+0002, 0.00000000000000E+0000,,
APCL_13018L0465,983,APCL_14158L0909_APCL14_156,1012,983,5,-4.79242170200960E+0001,-4.79242170200960E+0001,*,APCL_14197L1276_APCL14_195,1012,983,12,-7.70613071104350E+0001,-7.70613071104350E+0001,*,983,24,-1.79073198923645E+0002,-1.79073198923645E+0002,-,
APCL_13018L0465,983,APCL_14158L0909_APCL14_156,1012,983,5,-4.79242170200960E+0001,-4.79242170200960E+0001,*,APCL_14204L0994_APCL14_202,1012,983,18,-1.16275424569254E+0002, 0.00000000000000E+0000,,983,27,-2.04445425355042E+0002, 0.00000000000000E+0000,,
APCL_13019L0480,1005,APCL_14156L0908_APCL14_154,1012,1005,7,-5.21162491741724E+0001,-5.21162491741724E+0001,*,APCL_14158L0909_APCL14_156,1012,1005,2,-4.78462919056321E+0001,-4.78462919056321E+0001,*,1005,19,-1.67299158701166E+0002,-1.67299158701166E+0002,-,
APCL_13019L0480,1005,APCL_14158L0909_APCL14_156,1012,1005,2,-4.78462919056321E+0001,-4.78462919056321E+0001,*,APCL_14168L0912_APCL14_166,1012,1005,10,-9.18550194733632E+0001, 0.00000000000000E+0000,,1005,18,-1.89123849668429E+0002, 0.00000000000000E+0000,,
APCL_13020L0481,983,APCL_14158L0909_APCL14_156,1012,983,7,-7.26743884738374E+0001,-7.26743884738374E+0001,*,APCL_14XXXL1281_APCL14_387,1012,983,3, 1.46078777298365E+0002, 1.46078777298365E+0002,*,983,13, 4.10672756654324E+0001, 4.10672756654324E+0001,*,
APCL_13020L0481,983,APCL_14168L0912_APCL14_166,1012,983,9,-7.86267754210157E+0001, 0.00000000000000E+0000,,APCL_14XXXL1281_APCL14_387,1012,983,3, 1.46078777298365E+0002, 1.46078777298365E+0002,*,983,22, 1.53462954494465E+0001, 0.00000000000000E+0000,,
APCL_13021L0662,1012,APCL_14158L0909_APCL14_156,1012,1012,7,-3.58172293965749E+0001,-3.58172293965749E+0001,*,APCL_14XXXL1281_APCL14_387,1012,1012,3, 1.45305032102534E+0002, 1.45305032102534E+0002,*,1012,19, 6.93749366877650E+0001, 6.93749366877650E+0001,*,
APCL_13021L0662,1012,APCL_14197L1276_APCL14_195,1012,1012,10,-4.92244087725688E+0001, 0.00000000000000E+0000,,APCL_14XXXL1281_APCL14_387,1012,1012,3, 1.45305032102534E+0002, 1.45305032102534E+0002,*,1012,47,-7.57506493361031E+0001, 0.00000000000000E+0000,,
APCL_13022L0482,945,APCL_14157L0715_APCL14_155,1012,945,5,-4.71041357198093E+0001,-4.71041357198093E+0001,*,APCL_14268L1302_APCL14_266,1012,945,7, 1.00919293391252E+0002, 1.00919293391252E+0002,*,945,26,-2.34357074978755E+0001,-2.34357074978755E+0001,*,
